id,mode,tier,group,experiment,setting,algorithm,setup,arm,reduced_from_k,dataset,model,loss,group_n,coset_subgroup,task,optimizer,p,hidden_width,n_layers,activation,init_scale,batch_size,n_train,n_test,alpha,seed,num_clients,local_epochs,num_rounds,fraction_train,partition,dirichlet_alpha,proximal_mu,strategy,server_lr,server_momentum,tau,eval_every,checkpoint_every,epochs,log_every,momentum,lr,weight_decay,grok_threshold,t_grok,t_first_cross,t_50,t_memo,delay,post_grok_dips,final_acc,final_train_acc,peak_train_acc,final_ipr,grokked,censored,steps_run,wall_s,checkpoint_client_weights,d_mlp,feddyn_alpha,n_heads,persist_local_opt_state,track_client_drift
fede_a43b80e43f3d,federated,S2b,probe_rerun,gate_a,,,D,,,s5,groknet,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.5,123,10,5,10000,1.0,operand,0.5,0.0,fedavg,1.0,0.0,0.001,20,0,10000,100,0.0,0.001,1.0,85.0,inf,inf,27300.0,19200.0,inf,0,63.47222328186035,99.73611235618591,99.83333349227905,nan,False,True,50000.0,1791.8,False,512,0.01,4,False,True
fede_a4e8ae8d2bd4,federated,T3b,partitions,exp3b,,,D,,,s5,groknet,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.3,456,20,5,50000,1.0,target,0.5,0.0,fedavg,1.0,0.0,0.001,20,5000,10000,100,0.0,0.001,1.0,85.0,inf,inf,inf,inf,inf,0,0.7142857182770967,1.111111044883728,2.847222238779068,nan,False,True,250000.0,13332.9,True,512,0.01,4,False,True
fede_a4fe6f5922a0,federated,T5,local_epochs,exp_e,,,E,,,mnist,mlp,mse,5,s_nm1,addition,adamw,97,200,3,quadratic,9.0,100,2000,5000,0.5,42,10,50,400,1.0,iid,0.5,0.0,fedavg,1.0,0.0,0.001,2,40,10000,100,0.0,0.001,0.1,90.0,4900.0,4900.0,1600.0,1800.0,3100.0,0,94.65999603271484,100.0,100.0,nan,True,False,20000.0,431.4,True,512,0.01,4,False,True
fede_a53a1181c5dc,federated,T3a,dirichlet_setups,exp3a,,,E,,,mnist,mlp,mse,5,s_nm1,addition,adamw,97,200,3,quadratic,9.0,100,2000,5000,0.5,456,10,5,8000,1.0,dirichlet,0.1,0.0,fedavg,1.0,0.0,0.001,20,800,10000,100,0.0,0.001,0.1,90.0,3700.0,3700.0,800.0,1100.0,2600.0,0,90.57999849319458,99.85000491142273,100.0,nan,True,False,40000.0,1770.6,True,512,0.01,4,False,True
fede_a5d0e485c461,federated,S2,fl_probe,probe,,,D,,,s5,groknet,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.5,42,10,5,2000,1.0,iid,0.5,0.0,fedavg,1.0,0.0,0.001,20,0,10000,100,0.0,0.001,1.0,85.0,5000.0,5000.0,3500.0,2200.0,2800.0,0,99.52778220176697,100.0,100.0,nan,True,False,10000.0,331.1,False,512,0.01,4,False,True
fede_a5d272b881aa,federated,T1,setup_k_ladder,replication,,,D,,,s5,groknet,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.3,456,20,5,20000,1.0,iid,0.5,0.0,fedavg,1.0,0.0,0.001,20,2000,10000,100,0.0,0.001,1.0,85.0,97500.0,95600.0,32100.0,15300.0,82200.0,12,85.51587462425232,100.0,100.0,nan,True,False,100000.0,4555.1,True,512,0.01,4,False,True
fede_a634daaf1de3,federated,T2,aggregation,exp2,,,C,fl,,s5,transformer,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.4,42,20,5,40000,1.0,iid,0.5,0.0,fedavg,1.0,0.0,0.001,20,4000,10000,100,0.0,0.001,1.0,85.0,21000.0,21000.0,20500.0,16900.0,4100.0,0,100.0,100.0,100.0,nan,True,False,200000.0,14978.7,True,512,0.01,4,False,True
fede_a6640dbc6f06,federated,S2,fl_probe,probe,,,E,,,mnist,mlp,mse,5,s_nm1,addition,adamw,97,200,3,quadratic,9.0,200,4000,5000,0.5,123,50,5,2000,1.0,iid,0.5,0.0,fedavg,1.0,0.0,0.001,20,0,10000,100,0.0,0.001,0.1,90.0,inf,inf,600.0,inf,inf,0,84.79999899864197,97.20000624656677,97.20000624656677,nan,False,True,10000.0,872.9,False,512,0.01,4,False,True
fede_a6c997e25a0b,federated,S2b,mnist_fl,gate_a,,,E,,,mnist,mlp,mse,5,s_nm1,addition,adamw,97,200,3,quadratic,9.0,50,2000,5000,0.5,42,5,5,4000,1.0,iid,0.5,0.0,fedavg,1.0,0.0,0.001,20,0,10000,100,0.0,0.001,0.1,90.0,inf,1100.0,200.0,200.0,inf,142,82.33999609947205,99.85000491142273,100.0,nan,False,True,20000.0,778.0,False,512,0.01,4,False,True
fede_a7676d34dea3,federated,T3b,partitions,exp3b,,,D,,,s5,groknet,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.3,456,10,5,50000,1.0,target,0.5,0.0,fedavg,1.0,0.0,0.001,20,5000,10000,100,0.0,0.001,1.0,85.0,inf,inf,inf,inf,inf,0,0.7738095242530107,1.041666604578495,4.189814627170563,nan,False,True,250000.0,9975.5,True,512,0.01,4,False,True
