id,setup,mode,group,arm,dataset,model,optimizer,loss,alpha,n_train,hidden_width,weight_decay,lr,seed,num_clients,local_epochs,fraction_train,partition,dirichlet_alpha,strategy,server_lr,proximal_mu,num_rounds,epochs,grok_threshold,t_memo,t_first_cross,t_grok,grokked,peak_train_acc,final_acc,steps_run,axis,path,step_a,step_b,barrier_train_loss,barrier_rel,min_test_acc_path,min_test_acc_lambda,test_acc_mid,test_acc_start,test_acc_end,train_loss_start,train_loss_end
fede_addition_f14326c6bcea,B,federated,dirichlet_setups,,modular,transformer,adamw,ce,0.3,1000,128,1.0,0.001,456,10,5,1.0,dirichlet,1000.0,fedavg,1.0,0.0,20000,10000,95.0,4000.0,8700.0,8700.0,True,100.0,100.0,100000.0,dirichlet,init_to_end,0.0,100000.0,1.861610750041109,0.7843497481617013,0.8278330564498901,0.0,3.2553977966308594,0.8278330564498901,100.0,4.746889114379883,2.787874109344557e-07
fede_addition_f14326c6bcea,B,federated,dirichlet_setups,,modular,transformer,adamw,ce,0.3,1000,128,1.0,0.001,456,10,5,1.0,dirichlet,1000.0,fedavg,1.0,0.0,20000,10000,95.0,4000.0,8700.0,8700.0,True,100.0,100.0,100000.0,dirichlet,fed_to_twin,100000.0,100000.0,3.993529511105251,13988084.704368422,10.415035247802734,0.5,10.415035247802734,100.0,100.0,2.787874109344557e-07,2.922027704244101e-07
fede_addition_f361980b4fe3,B,federated,aggregation,fl,modular,transformer,adamw,ce,0.3,1000,128,1.0,0.001,42,20,5,1.0,iid,0.5,fedavg,1.0,0.0,20000,10000,95.0,9000.0,9100.0,9100.0,True,100.0,99.60846304893494,100000.0,K,memo_to_end,10000.0,100000.0,4.825504488078877,530.0105860268986,2.65130352973938,0.5,2.65130352973938,99.46302795410156,99.60845947265625,0.011734708212316036,0.006474378984421492
fede_addition_f361980b4fe3,B,federated,aggregation,fl,modular,transformer,adamw,ce,0.3,1000,128,1.0,0.001,42,20,5,1.0,iid,0.5,fedavg,1.0,0.0,20000,10000,95.0,9000.0,9100.0,9100.0,True,100.0,99.60846304893494,100000.0,K,init_to_end,0.0,100000.0,2.749062190158293,1.1564658496573323,0.8390200138092041,0.30000000000000004,1.5437968969345093,0.9844501614570618,99.60845947265625,4.747772693634033,0.006474378984421492
fede_addition_f361980b4fe3,B,federated,aggregation,fl,modular,transformer,adamw,ce,0.3,1000,128,1.0,0.001,42,20,5,1.0,iid,0.5,fedavg,1.0,0.0,20000,10000,95.0,9000.0,9100.0,9100.0,True,100.0,99.60846304893494,100000.0,K,fed_to_twin,100000.0,100000.0,4.881907038973918,1508.004259047876,2.282134532928467,0.4,3.635753631591797,99.60845947265625,100.0,0.006474378984421492,2.804997052407998e-07
fede_addition_f502345696a3,A,federated,size_control,,modular,groknet,gd,mse,0.25,1000,256,0.0,50.0,42,20,5,1.0,dirichlet_sizes,0.1,fedavg,1.0,0.0,20000,10000,95.0,3000.0,27300.0,27300.0,True,100.0,100.0,100000.0,dirichlet,memo_to_end,5000.0,100000.0,0.00400140897863821,1.2745794183832417,0.2692362368106842,0.0,94.68612670898438,0.2692362368106842,100.0,0.006268142722547054,1.0648415809555445e-05
fede_addition_f502345696a3,A,federated,size_control,,modular,groknet,gd,mse,0.25,1000,256,0.0,50.0,42,20,5,1.0,dirichlet_sizes,0.1,fedavg,1.0,0.0,20000,10000,95.0,3000.0,27300.0,27300.0,True,100.0,100.0,100000.0,dirichlet,init_to_end,0.0,100000.0,0.0026865349525905914,0.5205260994722263,0.906900942325592,0.0,100.0,0.906900942325592,100.0,0.010311734862625599,1.0648415809555445e-05
fede_addition_f502345696a3,A,federated,size_control,,modular,groknet,gd,mse,0.25,1000,256,0.0,50.0,42,20,5,1.0,dirichlet_sizes,0.1,fedavg,1.0,0.0,20000,10000,95.0,3000.0,27300.0,27300.0,True,100.0,100.0,100000.0,dirichlet,fed_to_twin,100000.0,100000.0,0.004886580908078031,514.6465925518834,100.0,0.0,100.0,100.0,100.0,1.0648415809555445e-05,8.341628927155398e-06
fede_addition_f744aff3259f,A,federated,size_control,,modular,groknet,gd,mse,0.25,1000,256,0.0,50.0,456,50,5,1.0,dirichlet_sizes,0.01,fedavg,1.0,0.0,20000,10000,95.0,3200.0,47800.0,47800.0,True,100.0,100.0,100000.0,dirichlet,memo_to_end,5000.0,100000.0,0.004530920348770451,1.388894253251046,0.2125549167394638,0.0,76.71815490722656,0.2125549167394638,100.0,0.006310677155852318,0.00021382294653449208
fede_addition_f744aff3259f,A,federated,size_control,,modular,groknet,gd,mse,0.25,1000,256,0.0,50.0,456,50,5,1.0,dirichlet_sizes,0.01,fedavg,1.0,0.0,20000,10000,95.0,3200.0,47800.0,47800.0,True,100.0,100.0,100000.0,dirichlet,init_to_end,0.0,100000.0,0.002610236726468429,0.49616538718077063,0.906900942325592,0.0,99.98583221435547,0.906900942325592,100.0,0.010307816788554192,0.00021382294653449208
