id,setup,mode,group,axis,step,irrep,in_fraction,out_fraction
cent_008bde8c6684,D,centralized,d_internals,centralised,18500.0,2111,0.15962216772218302,0.1555343305158031
cent_008bde8c6684,D,centralized,d_internals,centralised,18500.0,11111,0.004630074696711366,0.004772353523621909
cent_008bde8c6684,D,centralized,d_internals,centralised,20500.0,5,0.002182893810212107,0.00847212964307549
cent_008bde8c6684,D,centralized,d_internals,centralised,20500.0,41,0.16286587073145786,0.15646749610563163
cent_008bde8c6684,D,centralized,d_internals,centralised,20500.0,32,0.2067515645731209,0.20748918174916495
cent_008bde8c6684,D,centralized,d_internals,centralised,20500.0,311,0.23981440972922696,0.24835648013624537
cent_008bde8c6684,D,centralized,d_internals,centralised,20500.0,221,0.21816567916751917,0.21319001227404227
cent_008bde8c6684,D,centralized,d_internals,centralised,20500.0,2111,0.1651137440150389,0.16089819658483906
cent_008bde8c6684,D,centralized,d_internals,centralised,20500.0,11111,0.005105837973424101,0.005126503507001236
cent_008bde8c6684,D,centralized,d_internals,centralised,24500.0,5,0.0017965890557531303,0.007290108750597516
cent_008bde8c6684,D,centralized,d_internals,centralised,24500.0,41,0.15987995783184575,0.15318265778985982
cent_008bde8c6684,D,centralized,d_internals,centralised,24500.0,32,0.20341373131769747,0.20598140725793568
cent_008bde8c6684,D,centralized,d_internals,centralised,24500.0,311,0.23668023424672532,0.24673694172335794
cent_008bde8c6684,D,centralized,d_internals,centralised,24500.0,221,0.21204792436459236,0.2087802269677394
cent_008bde8c6684,D,centralized,d_internals,centralised,24500.0,2111,0.16779301475090183,0.16073610317054757
cent_008bde8c6684,D,centralized,d_internals,centralised,24500.0,11111,0.018388548432484164,0.017292554339962067
cent_008bde8c6684,D,centralized,d_internals,centralised,26500.0,5,0.0016214922413789353,0.006666043211608637
cent_008bde8c6684,D,centralized,d_internals,centralised,26500.0,41,0.1599683070133674,0.1536875076084402
cent_008bde8c6684,D,centralized,d_internals,centralised,26500.0,32,0.20342240535254094,0.20690927982326668
cent_008bde8c6684,D,centralized,d_internals,centralised,26500.0,311,0.23620809648629862,0.2458446990284295
cent_008bde8c6684,D,centralized,d_internals,centralised,26500.0,221,0.21231627324394936,0.20844428558100542
cent_008bde8c6684,D,centralized,d_internals,centralised,26500.0,2111,0.16903318696403283,0.16206676642825238
cent_008bde8c6684,D,centralized,d_internals,centralised,26500.0,11111,0.01743023869843193,0.016381418318997174
cent_008bde8c6684,D,centralized,d_internals,centralised,34000.0,5,0.001508459842861952,0.005833045594665311
cent_008bde8c6684,D,centralized,d_internals,centralised,34000.0,41,0.16203828927017605,0.15655055268464876
cent_008bde8c6684,D,centralized,d_internals,centralised,34000.0,32,0.2031554174101851,0.2065462726284775
cent_008bde8c6684,D,centralized,d_internals,centralised,34000.0,311,0.2293221294066708,0.23817419922892727
cent_008bde8c6684,D,centralized,d_internals,centralised,34000.0,221,0.21354076310788028,0.2094857543505706
cent_008bde8c6684,D,centralized,d_internals,centralised,34000.0,2111,0.17363401246369106,0.16703989547268377
cent_008bde8c6684,D,centralized,d_internals,centralised,34000.0,11111,0.016800928498534713,0.016370280040026792
cent_008bde8c6684,D,centralized,d_internals,centralised,43500.0,5,0.0014687607326575461,0.006317280453594372
cent_008bde8c6684,D,centralized,d_internals,centralised,43500.0,41,0.15969907365127078,0.15400953151766114
cent_008bde8c6684,D,centralized,d_internals,centralised,43500.0,32,0.20514007920054778,0.20805055381835347
cent_008bde8c6684,D,centralized,d_internals,centralised,43500.0,311,0.22983610840851615,0.23942843706868602
cent_008bde8c6684,D,centralized,d_internals,centralised,43500.0,221,0.21132835823107196,0.20548490646825326
cent_008bde8c6684,D,centralized,d_internals,centralised,43500.0,2111,0.17559585441926934,0.16988735911330363
cent_008bde8c6684,D,centralized,d_internals,centralised,43500.0,11111,0.016931765356666444,0.016821931560148096
cent_008bde8c6684,D,centralized,d_internals,centralised,55500.0,5,0.0014760888079292489,0.0065772443649748285
cent_008bde8c6684,D,centralized,d_internals,centralised,55500.0,41,0.15918534173887627,0.15254587796089128
cent_008bde8c6684,D,centralized,d_internals,centralised,55500.0,32,0.20635985036237472,0.2098660450656633
cent_008bde8c6684,D,centralized,d_internals,centralised,55500.0,311,0.23086601505000834,0.24118539459128976
cent_008bde8c6684,D,centralized,d_internals,centralised,55500.0,221,0.20909300908474668,0.20358390146608257
cent_008bde8c6684,D,centralized,d_internals,centralised,55500.0,2111,0.17603194238690545,0.16942050979222842
cent_008bde8c6684,D,centralized,d_internals,centralised,55500.0,11111,0.016987752569159298,0.016821026758869845
cent_008bde8c6684,D,centralized,d_internals,centralised,71500.0,5,0.001507938575406993,0.006478290587594739
cent_008bde8c6684,D,centralized,d_internals,centralised,71500.0,41,0.15839387362332855,0.15173329115211068
cent_008bde8c6684,D,centralized,d_internals,centralised,71500.0,32,0.2073840708396607,0.2093653526019605
cent_008bde8c6684,D,centralized,d_internals,centralised,71500.0,311,0.22929930928940265,0.24240173476134635
cent_008bde8c6684,D,centralized,d_internals,centralised,71500.0,221,0.20962656929815976,0.20375227509070346
cent_008bde8c6684,D,centralized,d_internals,centralised,71500.0,2111,0.1766448518036075,0.16934739445301486
cent_008bde8c6684,D,centralized,d_internals,centralised,71500.0,11111,0.017143386570433856,0.01692166135326937
cent_008bde8c6684,D,centralized,d_internals,centralised,91500.0,5,0.00162526646788452,0.00699878731114285
cent_008bde8c6684,D,centralized,d_internals,centralised,91500.0,41,0.1581454504993171,0.15106835989846928
cent_008bde8c6684,D,centralized,d_internals,centralised,91500.0,32,0.20705874685672016,0.21001443233602587
cent_008bde8c6684,D,centralized,d_internals,centralised,91500.0,311,0.22895504116563137,0.24266401671011523
cent_008bde8c6684,D,centralized,d_internals,centralised,91500.0,221,0.2103357272684485,0.2031346226917488
cent_008bde8c6684,D,centralized,d_internals,centralised,91500.0,2111,0.17663316059283912,0.16913320369328494
cent_008bde8c6684,D,centralized,d_internals,centralised,91500.0,11111,0.01724660714915921,0.01698657735921302
cent_008bde8c6684,D,centralized,d_internals,centralised,117000.0,5,0.0017311140836967186,0.0075944569365008424
cent_008bde8c6684,D,centralized,d_internals,centralised,117000.0,41,0.15849507543536948,0.1507419352881799
cent_008bde8c6684,D,centralized,d_internals,centralised,117000.0,32,0.20572579512297892,0.20955916823563392
cent_008bde8c6684,D,centralized,d_internals,centralised,117000.0,311,0.2301648292406968,0.2432542515434452
cent_008bde8c6684,D,centralized,d_internals,centralised,117000.0,221,0.2109588999760291,0.2039350412944459
cent_008bde8c6684,D,centralized,d_internals,centralised,117000.0,2111,0.17566257826303153,0.16792532048021805
cent_008bde8c6684,D,centralized,d_internals,centralised,117000.0,11111,0.017261707878197443,0.016989826221576198
cent_008bde8c6684,D,centralized,d_internals,centralised,150000.0,5,0.0018586031429458944,0.007935076400193869
cent_008bde8c6684,D,centralized,d_internals,centralised,150000.0,41,0.15929534001807105,0.15023485908122244
cent_008bde8c6684,D,centralized,d_internals,centralised,150000.0,32,0.20611707342004024,0.2090308586250653
cent_008bde8c6684,D,centralized,d_internals,centralised,150000.0,311,0.22985949654528295,0.24323159903639802
cent_008bde8c6684,D,centralized,d_internals,centralised,150000.0,221,0.21097112157389597,0.20539720616761595
cent_008bde8c6684,D,centralized,d_internals,centralised,150000.0,2111,0.17476988151485212,0.16718171279667213
cent_008bde8c6684,D,centralized,d_internals,centralised,150000.0,11111,0.017128483784911764,0.01698868789283232
cent_00b37bf30d15,D,centralized,d_internals,centralised,500.0,5,0.00299639615287942,0.0018834775617686613
cent_00b37bf30d15,D,centralized,d_internals,centralised,500.0,41,0.1579857718444831,0.1604676554487446
cent_00b37bf30d15,D,centralized,d_internals,centralised,500.0,32,0.1823295690615879,0.1853130868645126
cent_00b37bf30d15,D,centralized,d_internals,centralised,500.0,311,0.2856000221022354,0.285822881798888
cent_00b37bf30d15,D,centralized,d_internals,centralised,500.0,221,0.20036711241350835,0.19649154044673267
cent_00b37bf30d15,D,centralized,d_internals,centralised,500.0,2111,0.13994118575072978,0.13699775697019742
cent_00b37bf30d15,D,centralized,d_internals,centralised,500.0,11111,0.030779942674576052,0.03302360090915608
cent_00b37bf30d15,D,centralized,d_internals,centralised,1000.0,5,0.0030414027436799305,0.0023674652364270255
cent_00b37bf30d15,D,centralized,d_internals,centralised,1000.0,41,0.1743579465090123,0.1757886699541615
cent_00b37bf30d15,D,centralized,d_internals,centralised,1000.0,32,0.1753414834518618,0.1765340791111422
cent_00b37bf30d15,D,centralized,d_internals,centralised,1000.0,311,0.27720592988648435,0.27725467493674055
cent_00b37bf30d15,D,centralized,d_internals,centralised,1000.0,221,0.1973393276523143,0.19653220221808007
cent_00b37bf30d15,D,centralized,d_internals,centralised,1000.0,2111,0.14253009131592578,0.13983141674884902
cent_00b37bf30d15,D,centralized,d_internals,centralised,1000.0,11111,0.030183818440721537,0.031691491794599624
cent_00b37bf30d15,D,centralized,d_internals,centralised,1500.0,5,0.003246957899380112,0.0028274432781633207
cent_00b37bf30d15,D,centralized,d_internals,centralised,1500.0,41,0.18613013821497879,0.1870792152525597
cent_00b37bf30d15,D,centralized,d_internals,centralised,1500.0,32,0.17404088237762594,0.17447193781038667
cent_00b37bf30d15,D,centralized,d_internals,centralised,1500.0,311,0.2700777816052478,0.26946778016835027
cent_00b37bf30d15,D,centralized,d_internals,centralised,1500.0,221,0.19624451631280582,0.19714512345480292
cent_00b37bf30d15,D,centralized,d_internals,centralised,1500.0,2111,0.14261596193321732,0.13967790542569047
cent_00b37bf30d15,D,centralized,d_internals,centralised,1500.0,11111,0.0276437616567442,0.029330594610046615
cent_00b37bf30d15,D,centralized,d_internals,centralised,2000.0,5,0.0035240323608789884,0.0030191420199929403
cent_00b37bf30d15,D,centralized,d_internals,centralised,2000.0,41,0.19203364003055,0.19336113115477668
cent_00b37bf30d15,D,centralized,d_internals,centralised,2000.0,32,0.17645912824204793,0.17682495814913304
cent_00b37bf30d15,D,centralized,d_internals,centralised,2000.0,311,0.26471005116626145,0.2638849411267929
cent_00b37bf30d15,D,centralized,d_internals,centralised,2000.0,221,0.19705644818603035,0.19753395856798167
cent_00b37bf30d15,D,centralized,d_internals,centralised,2000.0,2111,0.14152765360966502,0.13847416392925996
cent_00b37bf30d15,D,centralized,d_internals,centralised,2000.0,11111,0.02468904640456622,0.02690170505206283
cent_00b37bf30d15,D,centralized,d_internals,centralised,2500.0,5,0.003692538092252027,0.0029908975140660256
cent_00b37bf30d15,D,centralized,d_internals,centralised,2500.0,41,0.19295610022343104,0.195615305065144
cent_00b37bf30d15,D,centralized,d_internals,centralised,2500.0,32,0.18109705635503617,0.1811124193909728
cent_00b37bf30d15,D,centralized,d_internals,centralised,2500.0,311,0.2608266602702214,0.25979585428900126
cent_00b37bf30d15,D,centralized,d_internals,centralised,2500.0,221,0.19880369989377955,0.1979124452120825
cent_00b37bf30d15,D,centralized,d_internals,centralised,2500.0,2111,0.1403222834934202,0.13757607221542553
cent_00b37bf30d15,D,centralized,d_internals,centralised,2500.0,11111,0.022301661671859624,0.0249970063133079
cent_00b37bf30d15,D,centralized,d_internals,centralised,3000.0,5,0.0037622483538834826,0.0028489540546296917
cent_00b37bf30d15,D,centralized,d_internals,centralised,3000.0,41,0.1911660324289086,0.19505085639356481
cent_00b37bf30d15,D,centralized,d_internals,centralised,3000.0,32,0.18618016586682443,0.18587460311887344
cent_00b37bf30d15,D,centralized,d_internals,centralised,3000.0,311,0.25800544187641417,0.25659371134444664
cent_00b37bf30d15,D,centralized,d_internals,centralised,3000.0,221,0.2010428286885352,0.1985539400726214
cent_00b37bf30d15,D,centralized,d_internals,centralised,3000.0,2111,0.1393383787097854,0.13759491278202218
cent_00b37bf30d15,D,centralized,d_internals,centralised,3000.0,11111,0.02050490407564875,0.02348302223384186
cent_00b37bf30d15,D,centralized,d_internals,centralised,3500.0,5,0.003772634798980896,0.002679414405713748
cent_00b37bf30d15,D,centralized,d_internals,centralised,3500.0,41,0.18818160704495931,0.19263942871669798
cent_00b37bf30d15,D,centralized,d_internals,centralised,3500.0,32,0.1903035385059149,0.19000059654656998
cent_00b37bf30d15,D,centralized,d_internals,centralised,3500.0,311,0.25634237464235937,0.2543733895952535
