id,setup,mode,group,arm,dataset,model,optimizer,loss,alpha,n_train,hidden_width,weight_decay,lr,seed,num_clients,local_epochs,fraction_train,partition,dirichlet_alpha,strategy,server_lr,proximal_mu,num_rounds,epochs,grok_threshold,t_memo,t_first_cross,t_grok,grokked,peak_train_acc,final_acc,steps_run,axis,step,twin_step,twin_id,component,value
fede_012f831aaa57,D,federated,local_epochs,,s5,twin,adamw,ce,0.3,1000,256,1.0,0.001,456,10,25,1.0,iid,0.5,fedavg,1.0,0.0,10000,10000,85.0,2700.0,87400.0,95100.0,True,100.0,86.91468238830566,250000.0,E,250000.0,250000,cent_99fe60d0d1c1,11111,0.0018798659231558038
fede_014e47b34820,D,federated,local_epochs,,s5,fed,adamw,ce,0.3,1000,256,1.0,0.001,42,10,50,1.0,iid,0.5,fedavg,1.0,0.0,5000,10000,85.0,3500.0,inf,inf,False,100.0,80.83333373069763,250000.0,E,250000.0,250000,cent_ba0e4b5ee728,5,0.002113485124590418
fede_014e47b34820,D,federated,local_epochs,,s5,fed,adamw,ce,0.3,1000,256,1.0,0.001,42,10,50,1.0,iid,0.5,fedavg,1.0,0.0,5000,10000,85.0,3500.0,inf,inf,False,100.0,80.83333373069763,250000.0,E,250000.0,250000,cent_ba0e4b5ee728,41,0.1590481817489266
fede_014e47b34820,D,federated,local_epochs,,s5,fed,adamw,ce,0.3,1000,256,1.0,0.001,42,10,50,1.0,iid,0.5,fedavg,1.0,0.0,5000,10000,85.0,3500.0,inf,inf,False,100.0,80.83333373069763,250000.0,E,250000.0,250000,cent_ba0e4b5ee728,32,0.1990725109145863
fede_014e47b34820,D,federated,local_epochs,,s5,fed,adamw,ce,0.3,1000,256,1.0,0.001,42,10,50,1.0,iid,0.5,fedavg,1.0,0.0,5000,10000,85.0,3500.0,inf,inf,False,100.0,80.83333373069763,250000.0,E,250000.0,250000,cent_ba0e4b5ee728,311,0.2406191698252726
fede_014e47b34820,D,federated,local_epochs,,s5,fed,adamw,ce,0.3,1000,256,1.0,0.001,42,10,50,1.0,iid,0.5,fedavg,1.0,0.0,5000,10000,85.0,3500.0,inf,inf,False,100.0,80.83333373069763,250000.0,E,250000.0,250000,cent_ba0e4b5ee728,221,0.21802544289376277
fede_014e47b34820,D,federated,local_epochs,,s5,fed,adamw,ce,0.3,1000,256,1.0,0.001,42,10,50,1.0,iid,0.5,fedavg,1.0,0.0,5000,10000,85.0,3500.0,inf,inf,False,100.0,80.83333373069763,250000.0,E,250000.0,250000,cent_ba0e4b5ee728,2111,0.14349651345024436
fede_014e47b34820,D,federated,local_epochs,,s5,fed,adamw,ce,0.3,1000,256,1.0,0.001,42,10,50,1.0,iid,0.5,fedavg,1.0,0.0,5000,10000,85.0,3500.0,inf,inf,False,100.0,80.83333373069763,250000.0,E,250000.0,250000,cent_ba0e4b5ee728,11111,0.037624696042616944
fede_014e47b34820,D,federated,local_epochs,,s5,twin,adamw,ce,0.3,1000,256,1.0,0.001,42,10,50,1.0,iid,0.5,fedavg,1.0,0.0,5000,10000,85.0,3500.0,inf,inf,False,100.0,80.83333373069763,250000.0,E,250000.0,250000,cent_ba0e4b5ee728,5,0.00269298063816306
fede_014e47b34820,D,federated,local_epochs,,s5,twin,adamw,ce,0.3,1000,256,1.0,0.001,42,10,50,1.0,iid,0.5,fedavg,1.0,0.0,5000,10000,85.0,3500.0,inf,inf,False,100.0,80.83333373069763,250000.0,E,250000.0,250000,cent_ba0e4b5ee728,41,0.1846459845381114
fede_014e47b34820,D,federated,local_epochs,,s5,twin,adamw,ce,0.3,1000,256,1.0,0.001,42,10,50,1.0,iid,0.5,fedavg,1.0,0.0,5000,10000,85.0,3500.0,inf,inf,False,100.0,80.83333373069763,250000.0,E,250000.0,250000,cent_ba0e4b5ee728,32,0.2129694313310658
fede_014e47b34820,D,federated,local_epochs,,s5,twin,adamw,ce,0.3,1000,256,1.0,0.001,42,10,50,1.0,iid,0.5,fedavg,1.0,0.0,5000,10000,85.0,3500.0,inf,inf,False,100.0,80.83333373069763,250000.0,E,250000.0,250000,cent_ba0e4b5ee728,311,0.2207585786735352
fede_014e47b34820,D,federated,local_epochs,,s5,twin,adamw,ce,0.3,1000,256,1.0,0.001,42,10,50,1.0,iid,0.5,fedavg,1.0,0.0,5000,10000,85.0,3500.0,inf,inf,False,100.0,80.83333373069763,250000.0,E,250000.0,250000,cent_ba0e4b5ee728,221,0.19124154267918214
fede_014e47b34820,D,federated,local_epochs,,s5,twin,adamw,ce,0.3,1000,256,1.0,0.001,42,10,50,1.0,iid,0.5,fedavg,1.0,0.0,5000,10000,85.0,3500.0,inf,inf,False,100.0,80.83333373069763,250000.0,E,250000.0,250000,cent_ba0e4b5ee728,2111,0.17165607228278018
fede_014e47b34820,D,federated,local_epochs,,s5,twin,adamw,ce,0.3,1000,256,1.0,0.001,42,10,50,1.0,iid,0.5,fedavg,1.0,0.0,5000,10000,85.0,3500.0,inf,inf,False,100.0,80.83333373069763,250000.0,E,250000.0,250000,cent_ba0e4b5ee728,11111,0.016035409857162196
fede_0381a1732454,C,federated,participation_setups,,s5,fed,adamw,ce,0.5,1000,256,1.0,0.001,456,20,5,0.25,iid,0.5,fedavg,1.0,0.0,160000,10000,85.0,1200.0,1200.0,1200.0,True,100.0,100.0,200000.0,f,100000.0,100000,cent_33fa8d74a26b,5,0.0034097571651402494
