setup,metric,n_crossed,n_memorised_not_crossed,rho_memo_vs_log_delay,p_memo_delay,n_memo,rho_memo_vs_log_tcross,rho_cross_vs_log_delay,p_cross_delay,n_cross,rho_cross_vs_log_tcross,auc_memo_crossed_vs_not
A,unit_fourier_other_share,52,9,-0.4148286645283894,0.002001520392752518,52,-0.7694354368603907,0.5196261348189565,5.558915850774787e-05,52,0.4670305099005372,0.8696581196581197
A,unit_sum_freq_concentration,52,9,-0.9427069053310586,6.031294471354971e-35,52,-0.5978845502488708,-0.7144699014913819,3.5236099218320987e-10,52,-0.9420550431742002,0.9786324786324786
A,unit_n_distinct_sum_freqs,52,9,0.005076439709915341,0.9716528324506744,52,-0.47530205698523564,0.13571583158529768,0.33911830136857746,52,-0.478063529279944,0.42948717948717946
A,fU_ipr,52,9,-0.6738934839859767,1.0349929136094134e-08,52,-0.30283241484076934,-0.6407995459994819,1.0566365712301733e-07,52,-0.9288456676539014,0.8910256410256411
A,fU_dc_share,52,9,0.3427830760177384,0.012394835793727075,52,0.6663253599834941,0.2803150612912927,0.0437824343663723,52,0.6047243563435238,0.0641025641025641
A,fU_top1_share,52,9,0.22242204832783774,0.11332589302640268,52,0.6618794860219694,0.2591075764834096,0.06344491562045129,52,0.6238330646204612,0.5491452991452992
A,fU_nfreq90,52,9,0.4626522551633233,0.00045701171076334635,52,-0.3855618153312143,0.35077156303415413,0.010339513674888568,52,-0.21242011119442203,0.46153846153846156
A,fU_freq_gini,52,9,-0.01145888292038841,0.9360657103660149,52,0.41688618146911105,0.280614360472049,0.043545275430200446,52,0.627338465243971,0.8141025641025641
A,fU_freq_eff_n,52,9,0.03591590169076964,0.8014124890633897,52,-0.38978344981904783,-0.24452743067799002,0.08062226278254833,52,-0.5965165890299402,0.20726495726495728
A,fV_ipr,52,9,-0.7143416304139147,3.5653727463119853e-10,52,-0.3466926714227329,-0.6579878703800643,3.2986423405836144e-08,52,-0.9197401757903942,0.8931623931623932
