setup,metric,n_runs,median_lead_frac_delay,frac_runs_leading
A',circ_share_interaction_tr,32,-0.5105351661249549,0.15625
A',circ_share_marginal_te,32,-0.1422243075546175,0.25
A',circ_share_marginal_tr,32,-0.017050697622914515,0.46875
A',circ_units_te,32,0.18337899982374337,0.875
A',circ_units_tr,32,0.18337899982374337,0.875
A',clock_excluded_acc_te,32,-0.4482098851395944,0.0625
A',clock_excluded_acc_tr,32,-0.3253958977578595,0.25
A',clock_excluded_loss_te,32,-0.2236111111111111,0.09375
A',clock_excluded_loss_tr,32,-0.12496175420703723,0.3125
A',clock_freq_gini,32,-0.3330911680911681,0.15625
A',clock_key_jaccard_final,32,-0.7339506172839506,0.125
A',clock_nfreq90,31,-0.4279835390946502,0.16129032258064516
A',clock_restricted_loss_te,32,-0.022564812686124286,0.40625
A',clock_restricted_loss_tr,32,-0.017050697622914515,0.4375
A',clock_share,32,-0.21063943267587643,0.1875
A',clock_top1_share,32,-0.06151525658807212,0.25
A',fU_dc_share,32,-0.6070864161075293,0.125
A',fU_freq_eff_n,32,-0.16207792207792207,0.4375
A',fU_freq_gini,32,0.09118782982988885,0.53125
A',fU_ipr,32,-0.15996644295302015,0.15625
A',fU_nfreq90,28,-0.0180351048269137,0.5
A',fU_top1_share,32,0.05663258774256086,0.53125
A',fV_dc_share,32,-0.668662641265381,0.1875
A',fV_freq_eff_n,32,-0.31562995709979336,0.34375
A',fV_freq_gini,32,-0.06705543684710351,0.46875
A',fV_ipr,32,-0.14879889734838542,0.21875
A',fV_nfreq90,25,-0.12727272727272726,0.36
A',fV_top1_share,32,0.05663258774256086,0.53125
A',fin_n_unique_freq_strong,28,0.3036758344662363,0.6428571428571429
A',fin_uv_agree_strong,32,0.18736238732825763,0.78125
A',fin_uvw_agree_strong,32,0.1777076405972624,0.78125
A',fn_acc_te,32,0.06703015963906594,0.6875
A',fn_acc_tr,20,0.5650354780654998,0.95
A',fn_class_acc_gini,32,0.18900918012029122,0.875
A',fn_entropy_te,32,-0.3253958977578595,0.15625
A',fn_entropy_tr,32,-0.1945118886877335,0.15625
A',fn_gap_acc,32,0.06703015963906594,0.6875
A',fn_gap_loss,32,-0.17919107706173953,0.09375
A',fn_loss_te,32,-0.1593117178612059,0.15625
A',fn_loss_tr,32,-0.12496175420703723,0.25
A',fn_margin_te,32,-0.1945118886877335,0.1875
A',fn_margin_tr,32,-0.13573310251392443,0.21875
A',fout_dc_share,32,-0.05135531135531135,0.375
A',fout_freq_eff_n,32,0.06731910485767928,0.625
A',fout_freq_gini,32,0.07751205787781351,0.59375
A',fout_ipr,32,-0.12873019975630468,0.25
A',fout_nfreq90,30,0.07751205787781351,0.5666666666666667
A',fout_top1_share,32,0.08366316884918915,0.71875
A',rep_between_within_te,32,-0.08780611597513006,0.3125
A',rep_between_within_tr,32,0.24650203556888794,0.71875
A',rep_eff_rank_te,32,-0.4482098851395944,0.3125
A',rep_nc1_tr,32,0.2997231894150418,0.65625
A',rep_pr_te,32,-0.13573310251392443,0.375
A',rep_unit_gini_te,32,-0.15354172641238886,0.40625
A',rep_unit_pr_te,32,-0.1222783389450056,0.40625
A',sharp_grad_norm,32,-0.513104161281985,0.3125
A',sharp_lambda_max,32,-0.5406115391615605,0.21875
A',sharp_lr_lambda,32,-0.5406115391615605,0.21875
A',unit_fourier_diff_share,32,-0.000958055197080962,0.5
A',unit_fourier_marginal_share,32,-0.5086073059360731,0.3125
A',unit_fourier_other_share,32,-0.1593117178612059,0.25
A',unit_fourier_sum_share,32,-0.000958055197080962,0.5
