setup,axis,series,n,median_lead_frac_delay,q25,q75,frac_leading
B,centralised,test_loss,68,0.39415161385845426,0.26737089201877934,0.5043859649122807,0.9558823529411765
B,centralised,weight_norm_total,68,0.2579166666666667,0.02610173784289277,0.4613138374968028,0.75
B,centralised,embed_ipr,68,-0.23736536868268432,-0.7825,-0.05163814601427466,0.14705882352941177
B,dirichlet,test_loss,8,0.36288998357963875,0.29166666666666663,0.42500000000000004,0.875
B,dirichlet,weight_norm_total,8,-0.04259259259259259,-0.7083333333333333,0.03776683087027914,0.375
B,dirichlet,embed_ipr,8,-0.20525451559934318,-0.41666666666666663,-0.11889282899921197,0.0
B,f,test_loss,6,0.13534812588432088,0.12347792667231222,0.17719358910747174,1.0
B,f,weight_norm_total,6,-0.14234297127288553,-1.7717303264521203,0.9619971675461165,0.5
B,f,embed_ipr,6,-0.03520032087474707,-0.12408176798188404,-0.014609827235181897,0.0
B,other,test_loss,6,0.10144927536231885,-0.75,0.3319746376811594,0.5
B,other,weight_norm_total,6,-0.3125,-3.84375,-0.0625,0.0
B,other,embed_ipr,6,-0.6875,-2.5,-0.23505434782608697,0.0
C,E,test_loss,5,0.15254237288135594,0.0,0.2962962962962963,0.6
C,E,weight_norm_total,5,-0.42857142857142855,-2.6,-0.14814814814814814,0.0
C,E,coset_accuracy,5,0.05084745762711865,0.0,0.14814814814814814,0.6
C,K,test_loss,20,0.13055386488131465,0.09959016393442624,0.22496790757381258,1.0
C,K,weight_norm_total,20,-0.030147723846849564,-0.10943517329910141,0.0,0.2
C,K,coset_accuracy,20,0.0456221198156682,0.03130157333039939,0.10943517329910141,1.0
C,all,test_loss,113,0.14634146341463414,0.0898876404494382,0.2578616352201258,0.9469026548672567
C,all,weight_norm_total,113,0.04318936877076412,-0.06766917293233082,0.18947368421052632,0.6017699115044248
C,all,coset_accuracy,113,0.047619047619047616,0.031578947368421054,0.09090909090909091,0.9469026548672567
C,centralised,test_loss,61,0.15789473684210525,0.09259259259259259,0.270516717325228,1.0
C,centralised,weight_norm_total,61,0.15384615384615385,0.05555555555555555,0.3114754098360656,0.9344262295081968
C,centralised,coset_accuracy,61,0.046875,0.03553299492385787,0.08333333333333333,1.0
C,dirichlet,test_loss,9,0.07971014492753623,0.07196969696969698,0.11940298507462686,1.0
C,dirichlet,weight_norm_total,9,0.014925373134328358,0.0,0.04716981132075472,0.5555555555555556
C,dirichlet,coset_accuracy,9,0.030303030303030304,0.025210084033613446,0.0446927374301676,1.0
C,f,test_loss,3,0.0,0.0,0.0,0.0
C,f,weight_norm_total,3,-3.0,-4.5,-2.25,0.0
C,f,coset_accuracy,3,0.0,0.0,0.0,0.0
C,other,test_loss,6,0.2111111111111111,0.13458646616541353,0.3055555555555555,0.8333333333333334
C,other,weight_norm_total,6,-2.3888888888888893,-4.061111111111111,-2.0833333333333335,0.0
C,other,coset_accuracy,6,0.2111111111111111,0.08947368421052632,0.3055555555555555,0.8333333333333334
C,partition,test_loss,9,0.24444444444444444,0.1694915254237288,0.25,1.0
C,partition,weight_norm_total,9,-0.07865168539325842,-2.125,-0.01694915254237288,0.2222222222222222
C,partition,coset_accuracy,9,0.24427480916030533,0.0847457627118644,0.25,1.0
D,E,test_loss,6,0.8538443834646366,0.8392262283171374,0.8671880288363907,1.0
D,E,weight_norm_layer1,6,0.862354826546003,0.8540823870870662,0.8731996695287835,1.0
D,E,weight_norm_total,6,0.8849660633484162,0.8693709921985322,0.8927435012245138,1.0
D,E,coset_accuracy,6,0.7896059577677225,0.771878327777392,0.8061252249859845,1.0
D,E,circ_share_interaction,6,0.9655722333246445,0.9101522554255199,0.9849538122021717,1.0
D,E,circ_acc_interaction,6,0.8652055052790347,0.8467305421850877,0.8722814283941425,1.0
D,E,irrep_structure_u,6,0.9328456353772809,0.9197502497502498,0.9482195136397482,1.0
D,K,test_loss,18,0.6822455575569437,0.6237387892376682,0.8090127707371866,1.0
D,K,weight_norm_layer1,18,0.9299973514611106,0.8162347759851074,0.9588745812543288,1.0
D,K,weight_norm_total,18,0.9451046172861305,0.8556860081975746,0.9700906045486027,1.0
D,K,coset_accuracy,18,0.6263828483512385,0.5168240349414109,0.77309001219377,1.0
D,K,circ_share_interaction,18,0.8980747674578671,0.8419130328916665,0.9216656414645236,1.0
D,K,circ_acc_interaction,18,0.7314456620899108,0.6364233369026904,0.8485334220152976,1.0
D,K,irrep_structure_u,18,0.8190531795844889,0.7658043387452795,0.8728283510825436,1.0
D,all,test_loss,302,0.5555555555555556,0.4173387096774194,0.8616932757813719,0.8543046357615894
D,all,weight_norm_layer1,302,0.7462574850299402,-2.992424242424242,0.9845136395526392,0.6059602649006622
D,all,weight_norm_total,302,0.669218359280471,-5.631944444444445,0.9460754487374505,0.5993377483443708
D,all,coset_accuracy,302,0.5,0.3737388304490442,0.76575261285132,0.8940397350993378
D,all,circ_share_interaction,171,0.9695817490494296,0.250828313253012,0.993963376501946,0.7602339181286549
D,all,circ_acc_interaction,171,0.7199124726477024,0.6025247398347149,0.8927510844177511,1.0
D,all,irrep_structure_u,171,0.7307692307692307,0.2666853303471445,0.8700440209678821,0.8304093567251462
D,centralised,test_loss,257,0.5266362252663622,0.4,0.875,0.8404669260700389
D,centralised,weight_norm_layer1,257,0.6550387596899225,-5.555555555555555,0.9888579387186629,0.5486381322957199
D,centralised,weight_norm_total,257,0.4444444444444444,-7.148148148148148,0.949238578680203,0.5408560311284046
D,centralised,coset_accuracy,257,0.5,0.33451118963486454,0.6428571428571429,0.8871595330739299
D,centralised,circ_share_interaction,132,0.9770084566596194,-1.659838897767028,0.9953898965926428,0.6893939393939394
D,centralised,circ_acc_interaction,132,0.6434699987163265,0.5513708502153964,0.8960470200820557,1.0
D,centralised,irrep_structure_u,132,0.6668486171761281,0.1375,0.8391887624345629,0.7878787878787878
D,dirichlet,test_loss,6,0.7628662124823353,0.7439846172301787,0.7918804381738136,1.0
D,dirichlet,weight_norm_layer1,6,0.8518603058662406,0.8413231505336769,0.8591077797227344,1.0
D,dirichlet,weight_norm_total,6,0.8794714057871953,0.8667331845785793,0.8838816283611237,1.0
D,dirichlet,coset_accuracy,6,0.702895952416106,0.6582793027762216,0.7353667625749645,1.0
D,dirichlet,circ_share_interaction,6,0.9736152005888847,0.938085966336926,0.9816565013933435,1.0
